date,entry_close,pred_close,actual_close,correct,error_pct,horizon
2022-01-27,320.01129150390625,315.93848,275.4346008300781,True,14.705442094186866,60
2022-01-28,329.0883483886719,331.21207,270.9364929199219,False,22.247122593516345,60
2022-01-31,329.4833984375,314.7254,272.4177551269531,True,15.53042960997963,60
2022-02-01,331.02764892578125,284.47977,281.5947570800781,True,1.024525383760813,60
2022-02-02,335.543701171875,268.50574,271.3338623046875,True,-1.042304479056959,60
2022-02-03,327.5351257324219,295.6611,277.26824951171875,True,6.633595016953339,60
2022-02-04,322.9202880859375,284.00082,275.45263671875,True,3.1033238082913956,60
2022-02-07,320.83734130859375,303.07,284.8012390136719,True,6.414567708278082,60
2022-02-08,324.50946044921875,273.88022,270.1686706542969,True,1.373789137938844,60
2022-02-09,327.1400451660156,330.78265,265.8331604003906,False,24.43242720749284,60
2022-02-10,318.8081970214844,258.91672,268.2899475097656,True,-3.493694067731542,60
2022-02-11,314.49871826171875,313.73074,262.9879455566406,True,19.294723849095146,60
2022-02-14,315.6389465332031,289.39322,255.5813751220703,True,13.229384909569863,60
2022-02-15,317.1651916503906,355.7837,261.6602478027344,False,35.971625187206605,60
2022-02-16,314.3191223144531,285.7223,267.38671875,True,6.857323121649063,60
2022-02-17,312.3887939453125,284.65097,267.3505859375,True,6.471047916659057,60
2022-02-18,311.42816162109375,336.84885,271.8306884765625,False,23.918623141253715,60
2022-02-22,283.86492919921875,286.5617,257.5865173339844,False,11.248721209819925,60
2022-02-23,276.9337463378906,294.67575,259.9168701171875,False,13.37307601448217,60
2022-02-24,281.2342529296875,331.69894,259.4020690917969,False,27.870585324597265,60
2022-02-25,284.2958984375,346.47412,258.35430908203125,False,34.10812551368726,60
2022-02-28,283.5596923828125,293.26364,260.0614013671875,False,12.76707724240679,60
2022-03-01,287.52801513671875,279.71884,265.16473388671875,True,5.488704117129429,60
2022-03-02,293.9205322265625,320.98206,273.51068115234375,False,17.356314682744507,60
2022-03-03,291.2181091308594,309.57397,278.614013671875,False,11.11213342411473,60
2022-03-04,291.12835693359375,309.446,273.4565124511719,False,13.160959902006814,60
2022-03-07,289.79058837890625,297.31778,270.1297912597656,False,10.064787061973902,60
2022-03-08,284.3766784667969,308.45886,278.01947021484375,False,10.94865480691739,60
2022-03-09,286.50830078125,292.0805,277.3013610839844,False,5.329632797090136,60
2022-03-10,287.1767272949219,289.90326,276.2197265625,False,4.953857888838214,60
2022-03-11,286.1380615234375,305.17245,274.292724609375,False,11.257947241796417,60
2022-03-14,287.5560302734375,300.63724,270.4388427734375,False,11.16644135350394,60
2022-03-15,296.7510986328125,299.88455,272.5566711425781,False,10.026494946835998,60
2022-03-16,298.8917236328125,285.20477,262.9037170410156,True,8.482594373028181,60
2022-03-17,303.8144836425781,293.94867,257.377197265625,True,14.20928992797498,60
2022-03-18,307.7706604003906,283.0417,253.29605102539062,True,11.74342666058635,60
2022-03-21,297.50079345703125,278.51236,254.25958251953125,True,9.538589208430864,60
2022-03-22,297.82598876953125,355.1954,248.56048583984375,False,42.90099363645405,60
2022-03-23,286.3728942871094,272.04752,246.0790557861328,True,10.552893256213153,60
