date,entry_close,pred_close,actual_close,correct,error_pct,horizon
2022-02-03,33.36000061035156,67.1196,18.56999969482422,False,261.44103118848875,60
2022-02-04,35.31999969482422,75.68777,18.18000030517578,False,316.3243441049919,60
2022-02-07,35.459999084472656,68.802956,19.1200008392334,False,259.84807849098405,60
2022-02-08,36.4900016784668,67.66753,17.6299991607666,False,283.8203599901636,60
2022-02-09,37.52000045776367,70.671814,17.1299991607666,False,312.56168959252324,60
2022-02-10,36.869998931884766,69.55621,15.859999656677246,False,338.5637760693284,60
2022-02-11,37.36000061035156,75.18527,15.670000076293945,False,379.8039045994611,60
2022-02-14,37.2400016784668,65.998146,14.260000228881836,False,362.8200911487923,60
2022-02-15,38.880001068115234,59.56945,15.279999732971191,False,289.852430755473,60
2022-02-16,37.88999938964844,69.548584,17.6299991607666,False,294.49000167366336,60
2022-02-17,36.56999969482422,65.67036,16.639999389648438,False,294.65360071672296,60
2022-02-18,37.95000076293945,50.39254,17.059999465942383,False,195.3841826233826,60
2022-02-22,34.369998931884766,69.63082,16.540000915527344,False,320.98438557315706,60
2022-02-23,32.09000015258789,80.923996,17.1299991607666,False,372.41097452603833,60
2022-02-24,32.400001525878906,67.78175,17.40999984741211,False,289.3265602188642,60
2022-02-25,32.790000915527344,69.80363,17.25,False,304.6587073284647,60
2022-02-28,34.709999084472656,67.13995,15.949999809265137,False,320.9401530793785,60
2022-03-01,33.95000076293945,61.17062,17.030000686645508,False,259.19329124025256,60
2022-03-02,33.93000030517578,69.58193,17.979999542236328,False,286.9962949910987,60
2022-03-03,31.260000228881836,64.68467,17.739999771118164,False,264.62610106647026,60
2022-03-04,28.299999237060547,67.9246,17.06999969482422,False,297.9179842307966,60
2022-03-07,27.190000534057617,74.87917,16.829999923706055,False,344.9148759254409,60
2022-03-08,27.6200008392334,63.736008,19.639999389648438,False,224.5214341708316,60
2022-03-09,29.190000534057617,67.54056,18.93000030517578,False,256.79110814837867,60
2022-03-10,28.450000762939453,74.312454,19.389999389648438,False,283.25145210321836,60
2022-03-11,26.209999084472656,69.39172,20.399999618530273,False,240.15551436471964,60
2022-03-14,24.559999465942383,66.20788,21.360000610351562,False,209.96196732647593,60
2022-03-15,24.889999389648438,59.019928,20.420000076293945,False,189.03000860922248,60
2022-03-16,27.81999969482422,70.79634,18.850000381469727,False,275.57739792927714,60
2022-03-17,28.610000610351562,62.685505,17.34000015258789,False,261.5080989718137,60
2022-03-18,29.889999389648438,61.870533,17.75,False,248.5663830394476,60
2022-03-21,29.450000762939453,66.28502,19.139999389648438,False,246.31672431895493,60
2022-03-22,31.010000228881836,64.772125,17.489999771118164,False,270.3380565567591,60
2022-03-23,30.239999771118164,56.153206,18.450000762939453,False,204.35340677262772,60
2022-03-24,29.979999542236328,52.875095,19.260000228881836,False,174.5332021758827,60
2022-03-25,28.799999237060547,58.494884,19.610000610351562,False,198.29108959889072,60
2022-03-28,29.43000030517578,59.79794,21.020000457763672,False,184.48115127633562,60
2022-03-29,31.399999618530273,56.692413,21.920000076293945,False,158.63327159104287,60
2022-03-30,29.040000915527344,60.937107,21.360000610351562,False,185.28607371223612,60
2022-03-31,21.59000015258789,55.896755,20.020000457763672,False,179.20456513690704,60
2022-04-01,22.18000030517578,60.73977,19.75,False,207.5431340857397,60
2022-04-04,22.790000915527344,60.219604,18.190000534057617,False,231.0588385054566,60
2022-04-05,22.059999465942383,57.55003,18.709999084472656,False,207.58969840035525,60
2022-04-06,21.25,59.115402,20.549999237060547,False,187.66620153965272,60
2022-04-07,21.079999923706055,59.303047,19.889999389648438,False,198.15509803906525,60
2022-04-08,19.940000534057617,58.89798,21.219999313354492,True,177.558820179893,60
2022-04-11,20.229999542236328,54.568546,21.059999465942383,True,159.10991300551873,60
2022-04-12,19.81999969482422,59.780403,20.030000686645508,True,198.45432395348888,60
2022-04-13,20.209999084472656,53.31658,19.350000381469727,False,175.53788462522274,60
2022-04-14,19.040000915527344,58.18513,19.0,False,206.23753196314763,60
2022-04-18,18.700000762939453,58.03956,18.299999237060547,False,217.15607011122034,60
2022-04-19,20.139999389648438,56.873722,18.780000686645508,False,202.8419595152572,60
2022-04-20,19.09000015258789,51.990433,18.579999923706055,False,179.8193377435039,60
2022-04-21,18.040000915527344,52.118958,18.8700008392334,True,176.20008055944848,60
2022-04-22,17.950000762939453,52.839645,20.690000534057617,True,155.38735631622308,60
2022-04-25,19.18000030517578,56.325813,21.0,True,168.2181585402716,60
2022-04-26,18.190000534057617,57.668396,19.40999984741211,True,197.10662776631884,60
2022-04-27,18.360000610351562,36.203136,18.079999923706055,False,100.23858737202276,60
2022-04-28,18.889999389648438,58.25685,17.34000015258789,False,235.9679970221602,60
2022-04-29,17.829999923706055,49.222176,18.510000228881836,True,165.9220690950687,60
2022-05-02,18.56999969482422,55.10653,18.6200008392334,True,195.95341972126693,60
2022-05-03,18.18000030517578,62.484802,18.329999923706055,True,240.88817515641458,60
2022-05-04,19.1200008392334,50.504803,18.760000228881836,False,169.2153629406842,60
2022-05-05,17.6299991607666,51.91894,19.239999771118164,True,169.84897149396056,60
2022-05-06,17.1299991607666,56.848976,20.959999084472656,True,171.22604302672946,60
2022-05-09,15.859999656677246,55.23022,21.290000915527344,True,159.41859285875802,60
2022-05-10,15.670000076293945,52.365036,21.239999771118164,True,146.53972022140692,60
2022-05-11,14.260000228881836,55.14227,21.940000534057617,True,151.33212302763508,60
2022-05-12,15.279999732971191,58.557976,20.649999618530273,True,183.57373777622726,60
2022-05-13,17.6299991607666,48.921417,21.81999969482422,True,124.20448176235519,60
2022-05-16,16.639999389648438,59.553726,20.0,True,197.7686309814453,60
2022-05-17,17.059999465942383,47.887268,20.700000762939453,True,131.33945073152807,60
2022-05-18,16.540000915527344,52.200474,20.81999969482422,True,150.722740396472,60
