date,entry_close,pred_close,actual_close,correct,error_pct
2022-01-26,12.75,22.191395,8.979999542236328,False,147.12022201709138
2022-01-27,12.279999732971191,22.410868,9.130000114440918,False,145.4640461131296
2022-01-28,12.710000038146973,21.694235,9.180000305175781,False,136.3206331898597
2022-01-31,13.710000038146973,24.488798,8.680000305175781,False,182.1290009273054
2022-02-01,14.199999809265137,24.79774,8.260000228881836,False,200.2147729920365
2022-02-02,13.319999694824219,22.243114,7.639999866485596,False,191.14024686059835
2022-02-03,12.449999809265137,20.074402,7.820000171661377,False,156.70590044506224
2022-02-04,12.9399995803833,24.248203,8.119999885559082,False,198.62319728245097
2022-02-07,12.979999542236328,23.629301,7.670000076293945,False,208.0743264162312
2022-02-08,13.149999618530273,23.127754,8.239999771118164,False,180.67663657577208
2022-02-09,13.869999885559082,20.790857,8.710000038146973,False,138.70100142372297
2022-02-10,13.5600004196167,23.371103,9.010000228881836,False,159.39070691503832
2022-02-11,13.130000114440918,18.590605,9.460000038146973,False,96.51802016002978
2022-02-14,13.260000228881836,19.118174,10.1899995803833,False,87.61702047610905
2022-02-15,14.170000076293945,20.05527,9.619999885559082,False,108.47473471843459
2022-02-16,13.970000267028809,22.164782,9.3100004196167,False,138.07497928498606
2022-02-17,11.770000457763672,16.803326,9.229999542236328,False,82.05120787042758
2022-02-18,11.020000457763672,23.61013,9.069999694824219,False,160.3101555067491
2022-02-22,10.479999542236328,25.13157,9.270000457763672,False,171.1064679073691
2022-02-23,10.430000305175781,22.618011,10.069999694824219,False,124.607866534838
2022-02-24,11.829999923706055,19.918114,9.800000190734863,False,103.2460542942348
2022-02-25,11.470000267028809,22.636673,10.180000305175781,False,122.36416792761517
2022-02-28,11.850000381469727,22.92029,10.170000076293945,False,125.37158133078921
2022-03-01,12.180000305175781,23.574383,9.5600004196167,False,146.59395133088935
2022-03-02,12.0600004196167,18.79425,9.489999771118164,False,98.04268642323485
2022-03-03,11.34000015258789,19.894018,9.279999732971191,False,114.37520200066078
2022-03-04,10.960000038146973,13.725024,8.899999618530273,False,54.213761928162384
2022-03-07,11.109999656677246,18.300484,9.039999961853027,False,102.43897987652237
2022-03-08,11.039999961853027,20.337755,9.029999732971191,False,125.22431677365316
2022-03-09,11.649999618530273,23.786057,9.34000015258789,False,154.66869518159635
2022-03-10,11.869999885559082,22.1122,10.109999656677246,False,118.7161279349894
2022-03-11,11.390000343322754,21.970188,10.489999771118164,False,109.43935767624203
2022-03-14,10.5,25.356533,9.84000015258789,False,157.6883400135763
2022-03-15,10.770000457763672,16.089714,9.680000305175781,False,66.21604899836613
2022-03-16,11.789999961853027,18.649986,9.399999618530273,False,98.40411727597326
2022-03-17,12.319999694824219,26.65736,10.020000457763672,False,166.04150557947037
2022-03-18,12.819999694824219,22.74276,10.130000114440918,False,124.50897776564372
2022-03-21,12.59000015258789,17.019342,10.350000381469727,False,64.43808497781487
2022-03-22,13.270000457763672,21.28319,10.470000267028809,False,103.27783410457681
2022-03-23,13.180000305175781,22.737852,10.920000076293945,False,108.22208734154553
2022-03-24,13.390000343322754,14.097246,11.199999809265137,False,25.86827151891626
2022-03-25,12.970000267028809,18.418247,11.319999694824219,False,62.70536854627006
2022-03-28,13.420000076293945,15.679681,11.449999809265137,False,36.94044616133588
2022-03-29,14.199999809265137,18.745266,9.819999694824219,False,90.88866133644932
2022-03-30,13.880000114440918,19.733265,9.25,False,113.3325937631968
2022-03-31,13.729999542236328,17.78224,9.59000015258789,False,85.42481367053824
2022-04-01,13.829999923706055,19.876959,9.420000076293945,False,111.00805399213938
2022-04-04,14.630000114440918,16.167177,9.90999984741211,False,63.14003480574492
2022-04-05,13.890000343322754,20.376099,9.90999984741211,False,105.611492901622
2022-04-06,13.0,16.072374,9.739999771118164,False,65.01411418438813
2022-04-07,12.84000015258789,21.501884,9.430000305175781,False,128.01573451326
2022-04-08,12.699999809265137,15.229324,9.149999618530273,False,66.44071011739054
2022-04-11,12.65999984741211,20.525969,8.510000228881836,False,141.19821386106747
2022-04-12,12.460000038146973,13.935797,8.069999694824219,False,72.68645928956815
2022-04-13,12.899999618530273,21.551094,8.010000228881836,False,169.0523525513585
2022-04-14,12.420000076293945,15.280895,8.100000381469727,False,88.65301868518695
2022-04-18,12.149999618530273,21.167112,8.420000076293945,False,151.39088074427372
2022-04-19,12.90999984741211,12.39827,7.940000057220459,True,56.14949073011155
2022-04-20,12.789999961853027,17.021124,7.809999942779541,False,117.9401281794461
2022-04-21,12.329999923706055,13.036745,7.789999961853027,False,67.35231239089825
2022-04-22,11.960000038146973,21.979696,7.71999979019165,False,184.71109936724574
2022-04-25,12.109999656677246,18.003992,7.489999771118164,False,140.37373338932298
2022-04-26,11.119999885559082,14.214556,7.400000095367432,False,92.088588610358
2022-04-27,10.5600004196167,15.057157,7.28000020980835,False,106.82906770412805
2022-04-28,10.949999809265137,19.427792,7.389999866485596,False,162.892989803234
2022-04-29,10.399999618530273,22.2684,7.53000020980835,False,195.72907797870445
2022-05-02,10.739999771118164,14.639416,7.789999961853027,False,87.92574855782775
2022-05-03,10.550000190734863,24.961971,8.010000228881836,False,211.63508826071
2022-05-04,10.979999542236328,15.821086,7.480000019073486,False,111.51184344288667
2022-05-05,10.119999885559082,22.874819,7.630000114440918,False,199.80102829337923
2022-05-06,9.479999542236328,16.368073,8.010000228881836,False,104.34546868983725
2022-05-09,7.460000038146973,15.374535,7.78000020980835,True,97.61612072388782
2022-05-10,7.289999961853027,16.885132,7.860000133514404,True,114.82355660454336
2022-05-11,6.710000038146973,14.958681,7.619999885559082,True,96.30815395307397
2022-05-12,7.340000152587891,14.064486,7.690000057220459,True,82.8931787421904
2022-05-13,8.34000015258789,17.676271,7.369999885559082,False,139.8408644921943
2022-05-16,8.039999961853027,14.563118,7.400000095367432,False,96.79888909831061
2022-05-17,8.359999656677246,14.61779,7.53000020980835,False,94.12735477918419
2022-05-18,8.010000228881836,12.77137,7.630000114440918,False,67.38361392564465
2022-05-19,8.3100004196167,13.919979,7.940000057220459,False,75.31459691616081
2022-05-20,8.079999923706055,17.496208,8.079999923706055,False,116.53723213023225
2022-05-23,8.010000228881836,12.955073,8.130000114440918,True,59.348993533431326
2022-05-24,7.550000190734863,13.5717125,8.239999771118164,True,64.70525328734092
2022-05-25,7.960000038146973,14.579411,8.460000038146973,True,72.33345729596358
2022-05-26,8.359999656677246,18.046612,8.420000076293945,True,114.33030430365352
2022-05-27,8.850000381469727,14.880817,8.470000267028809,False,75.68851173779385
2022-05-31,8.680000305175781,10.331599,8.149999618530273,False,26.768094713086775
2022-06-01,8.460000038146973,12.495497,8.0600004196167,False,55.030968974467676
2022-06-02,9.300000190734863,13.858452,8.039999961853027,False,72.3688048384975
2022-06-03,8.9399995803833,15.316967,8.069999694824219,False,89.80133320601918
2022-06-06,8.979999542236328,20.28682,8.079999923706055,False,151.0745006133967
2022-06-07,9.130000114440918,16.785704,7.53000020980835,False,122.91770506451074
2022-06-08,9.180000305175781,15.913883,7.940000057220459,False,100.42673922598759
2022-06-09,8.680000305175781,11.735617,8.15999984741211,False,43.81883460061381
2022-06-10,8.260000228881836,12.555329,7.909999847412109,False,58.72730170687209
2022-06-13,7.639999866485596,16.96777,8.039999961853027,True,111.04191173269695
2022-06-14,7.820000171661377,10.9038105,8.289999961853027,True,31.529680956251198
